5510206,104053009629736,Stony Brook University,Graduate School
5510342,108538865837496,Colts Neck High School,High School
5510342,15932409357,Syracuse University,College
5510342,103132326394338,University of Rochester,Graduate School
5510355,112451295447355,Gloversville High School,High School
5510355,17068777825,Syracuse University in Florence,College
5510355,15932409357,Syracuse University,College
5510355,98508878775,University of Pennsylvania,Graduate School
5510971,108579892506349,Daniel Boone Area Junior - Senior High School,High School
5510971,106309939406590,SUNY-ESF,College
5510971,410388822358429,State University of New York College of Environmental Science and Forestry,College
5510971,15932409357,Syracuse University,Graduate School
5511712,108526942512708,Port Jervis Senior High School,High School
5511712,15932409357,Syracuse University,College
5511712,106552256048733,State University of New York College of Environmental Science and Forestry,College
5511837,106386006063910,Chenango Valley Junior - Senior High School,High School
5511837,15932409357,Syracuse University,College
5511837,112094105475840,Syracuse Alum,College
5511837,106105042754834,Binghamton University,Graduate School
5512169,119166614762458,Syracuse University,College
5512169,111219398914712,Benjamin N. Cardozo School of Law,Graduate School
5512847,112094172149816,Bedford High School,High School
5512847,15932409357,Syracuse University,College
5512847,111480202202376,Seton Hall University,Graduate School
5513183,108126609222306,Wilson High School,High School
5513183,15932409357,Syracuse University,College
5513183,15932409357,Syracuse University,Graduate School
5513531,111818448836854,Half Hollow Hills High School West,High School
5513531,15932409357,Syracuse University,College
5513606,102178366490079,Georgetown High School,High School
5513606,112185508807181,Georgetown Junior - Senior High,High School
5513606,15932409357,Syracuse University,College
5513621,106386229398520,Centreville High School,High School
5513621,113308485350605,Wilbert Tucker Woodson High School,High School
5513621,15932409357,Syracuse University,College
5513887,105987719433382,Duncanville High School,High School
5513887,15932409357,Syracuse University,College
5514257,111879918831783,Webster Schroeder,High School
5514257,15932409357,Syracuse University,College
5514257,111568078860131,"University at Buffalo, The State University of New York",Graduate School
5514465,111843722165718,Belchertown High School,High School
5514465,106038739437124,George Washington University,College
5514465,15932409357,Syracuse University,College
5514465,112444612100264,George Washington University Law School,Graduate School
5514614,1399370640295573,Saint John's School,High School
5514614,1399370640295573,Saint John's School,College
5514785,110375775651646,Frank H. Morrell High School,High School
5514785,15932409357,Syracuse University,College
5514785,61270553970,Fordham University,Graduate School
5515083,108187095869809,Kings Park High School,High School
5515083,15932409357,Syracuse University,College
5515118,111949668823080,Cicero- North Syracuse High School,High School
5515118,15932409357,Syracuse University,College
5515118,104004612970542,Vanderbilt University Divinity School,Graduate School
5515255,108410622517046,Neenah High School,High School
5515255,15932409357,Syracuse University,College
5515321,105555232811496,Murry Bergtraum High School,High School
5515321,15932409357,Syracuse University,College
5515630,116520845024604,Aquinas High School,High School
5515630,103152453058030,Wagner College,College
5515630,15932409357,Syracuse University,College
5515670,108224759198398,Notre Dame-Bishop Gibbons High School,High School
5515670,110807175607864,Notre Dame - Bishop Gibbons,High School
5515670,15932409357,Syracuse University,College
5515670,136562523075471,William & Mary Law School,Graduate School
5515670,56827075005,The College of William and Mary,Graduate School
5515709,112011335484451,Sonoma Academy,High School
5515709,15932409357,Syracuse University,College
5515856,15932409357,Syracuse University,College
5516489,114659898545497,Monta Vista High,High School
5516489,15932409357,Syracuse University,College
5516933,15932409357,Syracuse University,College
5516951,110479182307243,North Brookfield Junior - Senior High School,High School
5516951,15932409357,Syracuse University,College
5517134,108121495887050,Cooperstown Central High School,High School
5517134,147623035261405,North Bennet Street School,Graduate School
5517134,15932409357,Syracuse University,College
5517190,103758836330278,New Milford High School,High School
5517190,15932409357,Syracuse University,College
5517190,15932409357,Syracuse University,Graduate School
5517192,105432326157422,Mattanawcook Academy,High School
5517192,15932409357,Syracuse University,College
5517660,107536762608886,Haverford Senior High School,High School
5517660,15932409357,Syracuse University,College
5517671,108427579189434,Aviation High School,High School
5517671,15932409357,Syracuse University,Graduate School
5517701,108427579189434,Aviation High School,High School
5517701,410388822358429,State University of New York College of Environmental Science and Forestry,College
5517701,15932409357,Syracuse University,Graduate School
5517910,114556168561061,Alfred - Almond Junior - Senior High School,High School
5517910,52284667640,Alfred State,College
5517910,107162635983685,Cornell University Cooperative Extension,College
5517910,110269335669507,SUNY ESF,College
5518000,103720286332710,Marianapolis Preparatory School,High School
5518000,15932409357,Syracuse University,College
5518009,111908962161970,CHIJ St. Nicholas Girls' School,High School
5518009,15932409357,Syracuse University,College
5518456,468969319794065,Browning School,High School
5518456,112188095474851,Brewster Academy,High School
5518456,15932409357,Syracuse University,College
5518456,110843082288080,French Culinary Institute,College
5518716,107920919236596,Marcellus High School,High School
5518716,15932409357,Syracuse University,College
5518716,111568078860131,"University at Buffalo, The State University of New York",Graduate School
5518716,106267179411672,SUNY at Buffalo,Graduate School
5518728,108635055834007,Marthas Vineyard Regional High,High School
5518728,15932409357,Syracuse University,College
5519624,115679905113150,Elba Central School,High School
5519624,111568078860131,"University at Buffalo, The State University of New York",College
5519624,15932409357,Syracuse University,College
5520078,15932409357,Syracuse University,College
5520954,110535048967662,Somerset Area Senior High School,High School
5520954,15932409357,Syracuse University,College
5520954,112520115426955,University of Pennsylvania,Graduate School
5521154,12527153330,University of Virginia,College
5521262,106369769400013,Ossining Senior High School,High School
5521262,108160215877996,Westchester Community College,College
5521262,110269335669507,SUNY ESF,College
5521262,120319711343352,empire beauty school,College
5521262,15932409357,Syracuse University,College
5524047,115825318427471,Acton- Boxborough Regional High,High School
5524047,15932409357,Syracuse University,College
5524047,108271302527428,University of Wollongong,College
5524047,109293595757241,University of Utah,Graduate School
5524220,104323032936393,Cony High School,High School
5524220,110269335669507,SUNY ESF,College
5524220,15932409357,Syracuse University,College
5524469,108150132546692,The Mary Louis Academy,High School
5524469,110526065641420,"Mary Louis Academy, The",High School
5524469,15932409357,Syracuse University,College
5526291,108617249162139,Canandaigua Academy,High School
5526291,108573585841640,SUNY ESF Syracuse,College
5800910,104323032936393,Cony High School,High School
5800910,107984279229874,University of Maine,College
5801021,104323032936393,Cony High School,High School
5801021,107984279229874,University of Maine,College
5801570,110677242294594,Wiscasset High School,High School
5801570,115115598503144,Hall-Dale High School,High School
5801570,107984279229874,University of Maine,College
5801570,109333269093284,North Shore Community College,College
5801673,108077892553712,Messalonskee High School,High School
5801673,107984279229874,University of Maine,College
5802175,104323032936393,Cony High School,High School
5803328,102080639833271,Waterville High School,High School
5803328,107984279229874,University of Maine,College
5803328,112343606183,Southern New Hampshire University,Graduate School
5803400,104323032936393,Cony High School,High School
5803400,108048972563111,Southern Maine,College
5803400,83086245170,University of Colorado Boulder,College
5804471,104323032936393,Cony High School,High School
5804471,107984279229874,University of Maine,College
5804471,107984279229874,University of Maine,Graduate School
5805003,104323032936393,Cony High School,High School
5805003,107984279229874,University of Maine,College
5805232,109820989047143,Maranacook Community School,High School
5805232,106417556060025,Central Maine Medical Center School of Nursing,College
5805232,107984279229874,University of Maine,College
5805232,110846165609829,CMMC School of Nursing,College
5805285,104323032936393,Cony High School,High School
5805285,107984279229874,University of Maine,College
5805285,107984279229874,University of Maine,Graduate School
5806566,104323032936393,Cony High School,High School
5806566,107984279229874,University of Maine,College
5806996,104323032936393,Cony High School,High School
5806996,107984279229874,University of Maine,College
5806996,108184125882468,Alum Maine,College
5806996,6713903971,University of Maine,Graduate School
5806996,157282751112394,Masters in Counselor Education,Graduate School
5807652,104323032936393,Cony High School,High School
5807652,101882706519898,University of Alaska,College
5807652,112446495433246,University of Alaska Anchorage,College
5808085,104323032936393,Cony High School,High School
5808085,112478135431579,University of Maine at Augusta,College
5809841,106189142746434,University of Salzburg,College
5809841,107984279229874,University of Maine,College
5809841,107984279229874,University of Maine,Graduate School
5810372,104323032936393,Cony High School,High School
5810372,107984279229874,University of Maine,College
5812266,104323032936393,Cony High School,High School
5812266,107892325900964,University of Southern Maine,College
5812487,104323032936393,Cony High School,High School
5812487,105693632796226,The Art Institute of Pittsburgh,College
5812847,104323032936393,Cony High School,High School
5812847,115208425168321,Humboldt State University,College
5812847,108564975834599,University of Maine at Farmington,College
5813837,108077892553712,Messalonskee High School,High School
5813837,107984279229874,University of Maine,College
5814076,104323032936393,Cony High School,High School
5814076,107984279229874,University of Maine,College
5814426,104323032936393,Cony High School,High School
5814426,112478135431579,University of Maine at Augusta,College
5814712,104323032936393,Cony High School,High School
5814712,107984279229874,University of Maine,College
5815683,104323032936393,Cony High School,High School
5815683,6713903971,University of Maine,College
5817506,104323032936393,Cony High School,High School
5817506,107984279229874,University of Maine,College
5819362,104323032936393,Cony High School,High School
5819362,6713903971,University of Maine,College
5820485,104323032936393,Cony High School,High School
5820485,107984279229874,University of Maine,College
5820485,107984279229874,University of Maine,Graduate School
5821064,104323032936393,Cony High School,High School
5821064,6713903971,University of Maine,College
5821505,133922103301561,University of Maine at Augusta,High School
5821505,112478135431579,University of Maine at Augusta,College
5821901,104323032936393,Cony High School,High School
5821901,112478135431579,University of Maine at Augusta,College
6420492,111781588841657,William S. Hart Senior High,High School
6420492,47424407936,University of Michigan School of Information,Graduate School
6420492,110030499019521,Cal Poly San Luis Obispo,College
6702343,112312135461125,James Logan High,High School
6702343,8686764758,UC Santa Cruz,College
6702343,47424407936,University of Michigan School of Information,Graduate School
7101751,395674917162282,St. Vincent's High School,High School
7101751,108066499194,University of San Francisco,College
7200551,108052015889845,Forest Hills Central High School,High School
7200551,108056922555207,Tates Creek High School,High School
7200551,112752458738756,Wake Forest University,College
9023027,88208359783,Capital Area Technical Center,High School
9023027,115115598503144,Hall-Dale High School,High School
9023027,103178449722994,Southern Maine Community College,College
9023027,419948431348750,UConn,College
9431617,186706244699492,Unicorns,High School
9431617,47424407936,University of Michigan School of Information,College
9431617,8829726273,University of Washington,College
10202555,103108403062669,Agoura High School,High School
10202555,83086245170,University of Colorado Boulder,College
10700690,110458272308898,Lowell High School,High School
10700690,47424407936,University of Michigan School of Information,College
10700690,8829726273,University of Washington,College
10700690,103449733028756,University of Michigan School of Information,Graduate School
10700690,109551572397323,University of Michigan,Graduate School
11301879,108188565881463,White Plains High School,High School
11301879,110501945644739,White Plains Senior High School,High School
11301879,111960675486467,University of Delaware,College
11301879,106053436208993,Delaware Alum,College
13000485,104323032936393,Cony High School,High School
13000485,109549259062805,Emerson College,College
13306509,107550242607607,Wooster High School,High School
13306509,103756122996046,Pomona College,College
13306509,122581057764508,The University of Edinburgh,College
13306509,109551572397323,University of Michigan,Graduate School
14601076,104323032936393,Cony High School,High School
14601076,103767002995012,Bates College,College
14602666,104323032936393,Cony High School,High School
14602666,107964555890703,University of Canterbury,College
14602666,107964555890703,University of Canterbury,College
14602666,103767002995012,Bates College,College
15003133,104323032936393,Cony High School,High School
15003133,109655475720265,Wheaton College (Massachusetts),College
15003133,114127991936704,Wheaton MA,College
16929785,109831759042469,Ames High School,High School
16929785,113308485350605,Wilbert Tucker Woodson High School,High School
16929785,47424407936,University of Michigan School of Information,College
16929785,108326705862247,Iowa State University,College
16929785,109551572397323,University of Michigan,Graduate School
17810518,104323032936393,Cony High School,High School
17810518,107955145899105,Brigham Young University,College
17810518,107955145899105,Brigham Young University,Graduate School
18206197,334869933270442,Community High School,High School
18206197,104046759631367,Elon University,College
18206197,47424407936,University of Michigan School of Information,Graduate School
18206197,104315322937357,University of Michigan School of Public Health,Graduate School
18604637,114514278564778,Freedom High School,High School
18604637,104110302959437,Bentley University,College
18604637,104110302959437,Bentley University,Graduate School
18604871,104323032936393,Cony High School,High School
18604871,102108013164125,IAE Nantes,College
18604871,104110302959437,Bentley University,College
18604871,104110302959437,Bentley University,Graduate School
18702171,104323032936393,Cony High School,High School
18702171,106476972723041,FIU,College
21420580,106096586087390,Hilliard Davidson High School,High School
21420580,159468067426218,Mount Carmel College of Nursing,College
21420580,6711658857,The Ohio State University,College
21420580,6711658857,The Ohio State University,Graduate School
21502345,104323032936393,Cony High School,High School
21502345,106155002749513,University of Burgundy,College
21502345,105844849445771,Clark University,College
21502345,107977025891872,Tulane University,Graduate School
21604002,105957082777249,Edwards - Knox Junior - Senior High School,High School
21604002,105595839473952,Clarkson University,College
21604002,15932409357,Syracuse University,College
21604002,15932409357,Syracuse University,Graduate School
21706940,108393665858615,Oscoda High School,High School
21706940,109262825767453,Central Michigan University,College
22414437,108281692534089,Saline High School,High School
22414437,47424407936,University of Michigan School of Information,College
22414437,105482929485396,Grand Valley State University,College
22414437,109551572397323,University of Michigan,Graduate School
22802255,104323032936393,Cony High School,High School
22802255,103757166329644,University of Hartford,College
22802819,103757166329644,University of Hartford,College
26902009,104323032936393,Cony High School,High School
26902009,106176026080298,Sacred Heart University,College
26902009,348089301940512,Sacred Heart Alumni,College
30313124,108215752540749,Eastern Michigan University,College
30313124,21105780752,University of Michigan,Graduate School
34102941,108095262547330,Virginia Commonwealth University,College
40201285,104323032936393,Cony High School,High School
40201285,109293595757241,University of Utah,College
40201285,112436348771056,Idaho State University,College
40201285,109438329083081,David Eccles School of Business,Graduate School
41900308,104323032936393,Cony High School,High School
41900308,109552052404730,Wentworth Institute of Technology,College
42407291,104323032936393,Cony High School,High School
42407291,117446508315015,Johnson & Wales University,College
45300218,110860948939052,Gardiner Area High School,High School
45300218,104040852966539,Emmanuel College,College
45300218,112343606183,Southern New Hampshire University,Graduate School
47400548,104323032936393,Cony High School,High School
47400548,103119579728361,Manhattanville College,College
47400548,112157625467765,College of New Rochelle,Graduate School
47402584,103119579728361,Manhattanville College,College
47402584,104078819628849,Ryerson University,Graduate School
50205826,106108629420315,Winnacunnet High School,High School
50205826,112619552088602,University of Massachusetts Lowell,College
50205826,112001248817245,Plymouth State University,Graduate School
50205826,104379512931358,Capella University,Graduate School
51901101,112338232111568,Gladwin High School,High School
51901101,103767999662241,Saginaw Valley State University,College
51901101,47424407936,University of Michigan School of Information,Graduate School
54700240,109277449091748,Christ The King Regional High School,High School
54700240,108551549177184,Christ the King R.High School,High School
54700240,105942359445994,CUNY John Jay,College
55003097,110092605686856,Central High School,High School
55003097,113711228639715,University of Central Arkansas,College
55003097,112721268743485,University of Arkansas at Little Rock,College
59802703,99666286593,Phillips Academy,High School
59802703,109688692389896,Springfield College,College
59802703,106032366095224,Bard College,College
60201243,110246788998729,Gerhart Hauptmann Gymnasium Zwickau,High School
60201243,104323032936393,Cony High School,High School
60201243,104109832960164,New England College,College
63000038,107920919236596,Marcellus High School,High School
63000038,105958002768217,Le Moyne College,College
63000038,15932409357,Syracuse University,Graduate School
67700862,108017395899073,South Sr. High,High School
67700862,108452932508309,Michigan (1903 automobile),College
67700862,109412442411374,Hamline University,College
67700862,47424407936,University of Michigan School of Information,Graduate School
139300115,112320208780213,Loveland High School,High School
139300115,108796179143993,California Institute of the Arts,College
139300115,110548945639190,CA Inst. Of Arts,College
139300115,109551572397323,University of Michigan,Graduate School
154000077,104323032936393,Cony High School,High School
154000077,113949341948626,Husson University,College
154000970,104323032936393,Cony High School,High School
154000970,113949341948626,Husson University,College
160400063,112762382071118,Trinity Catholic High School,High School
160400063,108310362526017,Lyndon State College,College
160400063,108310362526017,Lyndon State College,College
160400431,115115598503144,Hall-Dale High School,High School
160400431,108310362526017,Lyndon State College,College
160400928,106492119387438,University of Maine Farmington,College
171500854,104323032936393,Cony High School,High School
172700099,112807558732257,Winslow High School,High School
172700099,110860948939052,Gardiner Area High School,High School
172700099,107499642606845,Saint Joseph's College of Maine,College
172700099,6514736316,Walden University,Graduate School
172700099,6514736316,Walden University,Graduate School
172700401,104323032936393,Cony High School,High School
172700401,107499642606845,Saint Joseph's College of Maine,College
172700782,104323032936393,Cony High School,High School
172700782,107499642606845,Saint Joseph's College of Maine,College
172700782,113050565376422,Massachusetts College of Pharmacy and Health Sciences,College
172700782,103965619639479,University of Massachusetts Boston,Graduate School
179700030,104323032936393,Cony High School,High School
179700031,104323032936393,Cony High School,High School
179700031,109286895764473,Thomas College,College
179700031,186291828074120,Drexel University,Graduate School
179700239,104323032936393,Cony High School,High School
179700239,109286895764473,Thomas College,College
179700276,104323032936393,Cony High School,High School
179700276,109286895764473,Thomas College,College
179700276,109286895764473,Thomas College,Graduate School
502095234,109459545747923,Milford High School,High School
502095234,112441168769145,Michigan State University,College
502095234,47424407936,University of Michigan School of Information,Graduate School
505692437,110692278959124,Colombo International School,High School
505692437,105707636130911,Bishop Cotton Boys' School,High School
505692437,129181363786262,KLE Society's S Nijalingappa College,College
505692437,105488536151957,Nitte Meenakshi Institute of Technology,Graduate School
505692437,103449733028756,University of Michigan School of Information,Graduate School
505692437,21105780752,University of Michigan,Graduate School
507097472,109986009031464,Rowland High,High School
507097472,15932409357,Syracuse University,College
508145867,111916148826517,School One,High School
508145867,108662039165110,"University of Ulster, Magee",College
508145867,109221175762877,Earlham College,College
508145867,47424407936,University of Michigan School of Information,Graduate School
512900887,105981269442422,Notre Dame Preparatory High School,High School
512900887,109551572397323,University of Michigan,College
515557784,107808275908871,Lake Park High School,High School
515557784,108506419174117,Truman State University,College
515557784,109551572397323,University of Michigan,Graduate School
515557784,108506419174117,Truman State University,Graduate School
515782204,111980318819469,Menlo School,High School
515782204,47424407936,University of Michigan School of Information,Graduate School
515782204,10111634660,UC Berkeley,College
520604197,104323032936393,Cony High School,High School
520604197,107892325900964,University of Southern Maine,College
520604197,126020784099063,university of maine augusta,College
520604197,107471112737058,Fuller Circles School of Massage & Bodywork,College
533601286,109338032425464,Father Patrick Mercredi Community High School,High School
533601286,114781205209824,Murasakino High School,High School
533601286,200739723082,University of Helsinki,College
533601286,109239532428621,Doshisha University,College
533601286,21105780752,University of Michigan,Graduate School
533601286,109239532428621,Doshisha University,Graduate School
535701636,107716025917527,Centerville High School,High School
535701636,112282645450019,Miami University,College
538652126,109551572397323,University of Michigan,College
538652126,102177396490955,"University of Michigan, Ann Arbor",Graduate School
538652126,47424407936,University of Michigan School of Information,Graduate School
547702927,106473102721846,Princeton High School,High School
547702927,115262841818071,Kingsley High School,High School
547702927,113532041990571,American University of Rome,College
547702927,105599809475020,Kalamazoo College,College
547702927,103449733028756,University of Michigan School of Information,Graduate School
548558827,112974858717216,Walnut High School,High School
548558827,47424407936,University of Michigan School of Information,College
548558827,11360325957,UCLA,College
561397183,109990359030286,Winston Churchill High,High School
561397183,109924642370262,University of St. Andrews,College
564667061,112176712127344,Rockville High School,High School
564667061,104323032936393,Cony High School,High School
